series_id,year,period,period_name,value
LNS12300000,2024,M11,November,59.8
LNS12300000,2024,M10,October,60.0
LNS12300000,2024,M09,September,60.2
LNS12300000,2024,M08,August,60.0
LNS12300000,2024,M07,July,60.0
LNS12300000,2024,M06,June,60.1
LNS12300000,2024,M05,May,60.1
LNS12300000,2024,M04,April,60.2
LNS12300000,2024,M03,March,60.3
LNS12300000,2024,M02,February,60.1
LNS12300000,2024,M01,January,60.2
LNS12300000,2023,M12,December,60.1
LNS12300000,2023,M11,November,60.4
LNS12300000,2023,M10,October,60.3
LNS12300000,2023,M09,September,60.4
LNS12300000,2023,M08,August,60.4
LNS12300000,2023,M07,July,60.4
LNS12300000,2023,M06,June,60.3
LNS12300000,2023,M05,May,60.3
LNS12300000,2023,M04,April,60.4
LNS12300000,2023,M03,March,60.4
LNS12300000,2023,M02,February,60.2
LNS12300000,2023,M01,January,60.2
LNS12300000,2022,M12,December,60.1
LNS12300000,2022,M11,November,59.9
LNS12300000,2022,M10,October,60.0
LNS12300000,2022,M09,September,60.1
LNS12300000,2022,M08,August,60.1
LNS12300000,2022,M07,July,60.0
LNS12300000,2022,M06,June,59.9
LNS12300000,2022,M05,May,60.0
LNS12300000,2022,M04,April,59.9
LNS12300000,2022,M03,March,60.1
LNS12300000,2022,M02,February,59.8
LNS12300000,2022,M01,January,59.7
LNS12032194,2024,M11,November,4457.0
LNS12032194,2024,M10,October,4557.0
LNS12032194,2024,M09,September,4624.0
LNS12032194,2024,M08,August,4830.0
LNS12032194,2024,M07,July,4566.0
LNS12032194,2024,M06,June,4220.0
LNS12032194,2024,M05,May,4419.0
LNS12032194,2024,M04,April,4469.0
LNS12032194,2024,M03,March,4308.0
LNS12032194,2024,M02,February,4376.0
LNS12032194,2024,M01,January,4422.0
LNS12032194,2023,M12,December,4211.0
LNS12032194,2023,M11,November,3994.0
LNS12032194,2023,M10,October,4284.0
LNS12032194,2023,M09,September,4069.0
LNS12032194,2023,M08,August,4221.0
LNS12032194,2023,M07,July,4008.0
LNS12032194,2023,M06,June,4198.0
LNS12032194,2023,M05,May,3737.0
LNS12032194,2023,M04,April,3896.0
LNS12032194,2023,M03,March,4091.0
LNS12032194,2023,M02,February,4070.0
LNS12032194,2023,M01,January,4049.0
LNS12032194,2022,M12,December,3878.0
LNS12032194,2022,M11,November,3704.0
LNS12032194,2022,M10,October,3668.0
LNS12032194,2022,M09,September,3850.0
LNS12032194,2022,M08,August,4137.0
LNS12032194,2022,M07,July,3934.0
LNS12032194,2022,M06,June,3633.0
LNS12032194,2022,M05,May,4318.0
LNS12032194,2022,M04,April,4027.0
LNS12032194,2022,M03,March,4152.0
LNS12032194,2022,M02,February,4134.0
LNS12032194,2022,M01,January,3727.0
